text,category,stance,Lemmatization,sentiment
التدخين يقلل فاعلية لقاح كورونا المدينة,restrictions,0,"['تدخ', 'قلل', 'فعل', 'لقح', 'كورو', 'دين']",neutral
السفير الأمريكي عقب تلقيه لقاح_كورونا تنظيم وكفاءة سعودية غاية الروعة,celebrity,1,"['سفر', 'امر', 'عقب', 'لقه', 'لقاح_كورو', 'نظم', 'كفء', 'سعد', 'غية', 'روع']",positive
الناس إللى كانت خايفه لقاح كورونا_المتحور أحب أطمنكم,info_news,1,"['ناس', 'للى', 'كانت', 'خيف', 'لقح', 'كورونا_المتحور', 'احب', 'اطم']",positive
بالفيديو الصحة لقاح_فايزر سيصل العراق وحصته ملايين جرعة شاهد التقرير السومرية وزارة_الصحة_العراقية فايزر لقاح_فايزر_بيونتيك لقاح_كورونا كورونا فيروس_كورونا كورونا_في_العراق,info_news,1,"['يدو', 'صحة', 'لقاح_فايزر', 'يصل', 'عرق', 'وحص', 'لاي', 'جرع', 'شهد', 'قرر', 'ومر', 'وزارة_الصحة_العراقية', 'يزر', 'لقاح_فايزر_بيونتيك', 'لقاح_كورو', 'كورو', 'فيروس_كورو', 'كورونا_في_العراق']",positive
الصحة ترد تم تداوله تلقي شخص لقاح_كورونا بجدة وأحقيته,rumors,1,"['صحة', 'ترد', 'تم', 'دول', 'تلق', 'شخص', 'لقاح_كورو', 'بجد', 'أحق']",positive
امريكا تريد ان يكون شعوب العالم الثالث فئران مختبرية للقاحها النتائج المجهولة نريد_لقاح_آمن,info_news,-1,"['امر', 'ترد', 'ان', 'يكون', 'شعب', 'علم', 'ثلث', 'فئر', 'خبر', 'قاح', 'نتج', 'جهل', 'نريد_لقاح_آمن']",negative
عاجل تحيا مصر يعلن تكلفة لقاح كورونا لتوزيعها الأسر صدى_البلد البلد,info_news,1,"['عجل', 'تحا', 'مصر', 'يعل', 'كلف', 'لقح', 'كورو', 'وزع', 'اسر', 'صدى_البلد', 'بلد']",positive
القطيف تود مصو را فوتغرافيا شابا توفي لقاح كورونا,info_news,-1,"['قطف', 'تود', 'مصو', 'را', 'غرف', 'شبا', 'توف', 'لقح', 'كورو']",negative
دبي تسهل إجراءات حصول المواطنين والمقيمين لقاح كورونا,plan,1,"['دبي', 'سهل', 'جرء', 'حصل', 'وطن', 'قيم', 'لقح', 'كورو']",positive
الحريري نلنا مليون جرعة لقاح أظهر فعالية مخيبة للأمال بدراسة جديدة انعملت بالبرازيل لقاح شركة كانت فعاليتو ولي قت التجارب بسبب ردود فعل خطيرة نتجت عنو اذا حابب تعمل منيح كنت لقاح عندو فعالية,info_news,1,"['حرر', 'نلن', 'ملي', 'جرع', 'لقح', 'ظهر', 'فعل', 'خيب', 'امل', 'درس', 'جدد', 'عمل', 'رازيل', 'لقح', 'شرك', 'كانت', 'عاليتو', 'ولي', 'قت', 'جرب', 'سبب', 'ردد', 'فعل', 'خطر', 'نتج', 'عنو', 'اذا', 'حبب', 'عمل', 'نيح', 'كنت', 'لقح', 'عندو', 'فعل']",positive
الحكومة العراقية ان تقبل بان يكون العراقيون فئران تجارب لشركة فايزر الحكومة النيجيرية رفعت دعوى شركة مطالبة بدفع مليار كتعويضات لأسر وضحايا التجارب المرخصة وغير الأخلاقية بلقاحاتها الفاشلة نريد_لقاح_آمن,unrelated,-1,"['حكم', 'عرق', 'ان', 'قبل', 'بان', 'يكون', 'عرق', 'فئر', 'جرب', 'لشر', 'يزر', 'حكم', 'يجر', 'رفع', 'دعى', 'شرك', 'طلب', 'دفع', 'لير', 'كتعويض', 'أسر', 'وضح', 'جرب', 'رخص', 'وغر', 'خلق', 'لقح', 'فشل', 'نريد_لقاح_آمن']",negative
اذا جيلاتين الخزير فشركتي موديرنا وفايزر اعلنتا خلو لقاحهما واعتقد استرازينكا الصين تعلن اي شيء الان بهذا الخصوص رغم انه الشريعة يجوز التداوي محرم اذا لانقاذ الحياة الاشكالية اللقاحات ان احد يعلم الاعراض بعيدة المدى لقاح الطوارىء,info_news,1,"['اذا', 'جيل', 'خزر', 'فشر', 'ودر', 'يزر', 'اعل', 'خلو', 'لقح', 'عقد', 'استرازينكا', 'صين', 'تعل', 'اي', 'شيء', 'الن', 'بهذا', 'خصص', 'رغم', 'انه', 'شرع', 'يجز', 'دوي', 'حرم', 'اذا', 'قاذ', 'حية', 'شكل', 'لقح', 'ان', 'احد', 'علم', 'عرض', 'بعد', 'مدى', 'لقح', 'طوارىء']",positive
لله الحمد المنة تلقيت الجرعة الثانية لقاح كورونا افتخر بوطني الغالي وفره بتنظيم رائع الشكر التقدير لقادتنا ابناء بنات الوطن يبهرون الجميع باخلاصهم حسن ادائهم,personal,1,"['لله', 'حمد', 'منة', 'لقت', 'جرع', 'ثني', 'لقح', 'كورو', 'فخر', 'بوط', 'غلي', 'وفر', 'نظم', 'رئع', 'شكر', 'قدر', 'لقد', 'بنء', 'بنت', 'وطن', 'بهر', 'جمع', 'خلص', 'حسن', 'ادئ']",positive
الجيش_السلماني_الإلكتروني شكرا _جيشنا_الابيض شكرا _ولاة_امرنا عناية مسبوقة فتياتنا وشبابنا الرائع المتميز استقبال اخذي لقاح كرونا وعناية لايمكن ان تجدها اي دولة العالم تمنيت ان تكون جرعة ثالثة انبهاري شدة العناية عظيمة انت يابلادي,info_news,1,"['جيش_السلماني_الإلكترو', 'شكر', '_جيشنا_الابيض', 'شكر', '_ولاة_امر', 'عني', 'سبق', 'فتا', 'شبب', 'رئع', 'تمز', 'قبل', 'اخذ', 'لقح', 'كرو', 'وعن', 'ليم', 'ان', 'تجد', 'اي', 'دول', 'علم', 'منت', 'ان', 'تكون', 'جرع', 'ثلث', 'بهر', 'شدة', 'عني', 'عظم', 'انت', 'بلد']",positive
ثقة بأمريكا ولقاحها لقاح_آمن,personal,-1,"['ثقة', 'أمر', 'لقح', 'لقاح_آمن']",negative
الجرعة الثانية لقاح فيزر احساس بلغثيان صداع بسيط ووجع الجسم,personal,-1,"['جرع', 'ثني', 'لقح', 'يزر', 'حسس', 'لغث', 'صدع', 'بسط', 'وجع', 'جسم']",negative
خايف اخذ تطعيم خايف اقعد بيتك خايف البس كمامك تجبر غيرك الخوف والموضوع كله يعتمد مناعتك فايروسات اخطر اقوى تعدي ولم يتم تسليط الضوء عليها ومنتشره العناية المركزة والمستشفيات اصحى وقف_تصعيد,personal,0,"['خيف', 'اخذ', 'طعم', 'خيف', 'قعد', 'بيت', 'خيف', 'لبس', 'كمم', 'جبر', 'غير', 'خوف', 'وضع', 'كله', 'عمد', 'نعت', 'يرس', 'خطر', 'اقى', 'تعد', 'ولم', 'يتم', 'سلط', 'ضوء', 'عليها', 'نشر', 'عني', 'ركز', 'شفي', 'صحى', 'وقف_تصعيد']",neutral
التغريدات لقاح جونسون مرتبة,others,0,"['غرد', 'لقح', 'جونس', 'رتب']",neutral
تعمد عملاء الداخل يردون فرضه علينا الفرضية سرب المؤامرة نريد_لقاح_آمن,unrelated,0,"['عمد', 'عملاء', 'دخل', 'يرد', 'فرض', 'علي', 'فرض', 'سرب', 'ؤمر', 'نريد_لقاح_آمن']",neutral
الحمد لله تلقيت قليل الجرعة الثانية لقاح_كورونا ان شاء الله الشفاء العاجل والاستعداد للقاء العائلة غياب اشهر لم_الشمل بموافقة الجوازات أعيش حالة اللاتوازن لهذا الغياب القسري ان شاء الله تتم الموافقة ولقاء عائلتي,restrictions,-1,"['حمد', 'لله', 'لقت', 'قلل', 'جرع', 'ثني', 'لقاح_كورو', 'ان', 'شاء', 'الل', 'شفء', 'عجل', 'عدد', 'قاء', 'عئل', 'غيب', 'شهر', 'لم_الشمل', 'وفق', 'جوز', 'اعش', 'حلة', 'توز', 'لهذا', 'غيب', 'قسر', 'ان', 'شاء', 'الل', 'تتم', 'وفق', 'لقء', 'عئل']",negative
الزيادة عدد حالات كورونا ممكن ان تكون أسوء أخرنا الوصول الى المناعة_المجتمعية حملة_التطعيم_الشاملة فشلت لتمسكنا تطعيم فايزر الغير متوفر عالميا الى لاسباب واضحة فالحل السريع تطعيم اوكسفورد لتوفره شرينا كمية قليلة جدا لترقيع الموقف,info_news,1,"['زيد', 'عدد', 'حال', 'كورو', 'مكن', 'ان', 'تكون', 'اسء', 'اخر', 'وصل', 'الى', 'مناعة_المجتمعية', 'حملة_التطعيم_الشاملة', 'فشل', 'تمس', 'طعم', 'يزر', 'غير', 'توفر', 'علم', 'الى', 'سبب', 'وضح', 'لحل', 'سرع', 'طعم', 'اوكسفورد', 'وفر', 'شري', 'كمة', 'قلل', 'جدا', 'رقع', 'وقف']",positive
تابعونا العربية عبر برنامج بانوراما الـ بتوقيت السعودية الـ متابعة الجديد حول ملف تسليم السلطة الولايات_المتحدة متابعة الجديد حول أزمة تأخر تسليم وتوزيع لقاح كورونا,info_news,1,"['بعو', 'عرب', 'عبر', 'رنمج', 'بنر', 'الـ', 'بتق', 'سعد', 'الـ', 'تبع', 'جدد', 'حول', 'ملف', 'سلم', 'سلط', 'ولايات_المتحدة', 'تبع', 'جدد', 'حول', 'ازم', 'أخر', 'سلم', 'وزع', 'لقح', 'كورو']",positive
بحضور السيدة وزيرة الصحة الأطقم الطبية تتلقى أولى جرعات لقاح كورونا بمستشفى خليفة للعزل بالإسماعيلية,info_news,-1,"['حضر', 'سيد', 'وزر', 'صحة', 'طقم', 'طبة', 'لقى', 'ولى', 'جرع', 'لقح', 'كورو', 'شفى', 'خلف', 'عزل', 'اسماعيلية']",negative
الملك_يتلقي_لقاح_كورونا هاشتاق عالمي لأجمل صورة عالمية لأروع قائد يحرص شعبه ويجسد معانيها بالفعل,info_news,1,"['ملك_يتلقي_لقاح_كورو', 'هاشتاق', 'علم', 'أجمل', 'صور', 'علم', 'أرع', 'قئد', 'حرص', 'شعب', 'جسد', 'عني', 'فعل']",positive
الجرعة_الثانية معالي وزير الصحة توفيق_الربيعة يتلقى الجرعة الثانية لقاح كورونا يتم اعطاء لقاح كورونا جرعتين بفاصل أسابيع بينهما,celebrity,1,"['جرعة_الثانية', 'علي', 'وزر', 'صحة', 'توفيق_الربيعة', 'لقى', 'جرع', 'ثني', 'لقح', 'كورو', 'يتم', 'عطء', 'لقح', 'كورو', 'جرع', 'فصل', 'ابع', 'بين']",positive
اللقاح الأمريكي مفروض العراق فرضا نريد_لقاح_آمن,personal,0,"['لقح', 'امر', 'فرض', 'عرق', 'فرض', 'نريد_لقاح_آمن']",neutral
فذلكات الملالي لعدم شراء لقاح كورونا وإرسال الناس حقل الألغام النظام_الإيراني,personal,1,"['فذل', 'للي', 'عدم', 'شرء', 'لقح', 'كورو', 'إرسال', 'ناس', 'حقل', 'لغم', 'نظام_الإيرا']",positive
مليون جرعة وزعت دولة غنية بينما حصلت الدول الفقيرة جرعة فقط الصحة العالمية تحذر استئثار الدول الغنية لقاح فيروس كورونا,info_news,1,"['ملي', 'جرع', 'وزع', 'دول', 'غنة', 'بين', 'حصل', 'دول', 'فقر', 'جرع', 'فقط', 'صحة', 'علم', 'حذر', 'ئثر', 'دول', 'غنة', 'لقح', 'يرس', 'كورو']",positive
الرؤساء والملوك والمسؤولين يتصوروا انهم اخذوا لقاح كورونا انو شو بضمنلنا انو الي اخذتوه لقاح كورونا فعلا ومو فيتامين مثلا وعم تتهبلوا علينا عم بحكي هيك لان تجربتنا معكم مر سنين بتشجع الثقة بحكيكم وادعاءاتكم ابدا والله,celebrity,1,"['رؤساء', 'لوك', 'سؤل', 'تصر', 'نهم', 'اخذ', 'لقح', 'كورو', 'انو', 'شو', 'ضمنل', 'انو', 'الي', 'خذتو', 'لقح', 'كورو', 'فعل', 'ومو', 'يتم', 'ثلا', 'وعم', 'هبل', 'علي', 'عم', 'بحك', 'هيك', 'لان', 'جرب', 'عكم', 'مر', 'سنن', 'شجع', 'ثقة', 'بحك', 'وادعاءات', 'ابد', 'ولل']",positive
الأردن واحدا أوائل البلدان حول العالم بدأ بتطعيم اللاجئين ضد كوفيد_ تقع مسؤولية تطعيم اللاجئين والنازحين وعديمي الجنسية حول العالم أسئلة عديدة تجيب عليها مفوضية شؤون اللاجئين,info_news,1,"['ارد', 'وحد', 'وئل', 'بلد', 'حول', 'علم', 'بدأ', 'طعم', 'لجئ', 'ضد', 'كوفيد_', 'تقع', 'سؤل', 'طعم', 'لجئ', 'نزح', 'عدم', 'جنس', 'حول', 'علم', 'سئل', 'عدد', 'تجب', 'عليها', 'فوض', 'شؤن', 'لجئ']",positive
نتمنى كافة الدول وبالاخص دول الخليج الحبيبة عدم إعطاء لقاح الكورونا لاي السياسيين اللبنانيين بعدهم يماطلون بشراء اللقاح وهني عم ينقبرو يسافرو وياخدوه ببلاش عندكم بحق تبقى حب الى الشعب اللبناني تعطوهم اللقاح انهم مجرمين عم يقتلونا الف مرة يوم المصير,info_news,1,"['منى', 'كفة', 'دول', 'لخص', 'دول', 'خلج', 'حبب', 'عدم', 'عطء', 'لقح', 'كورو', 'لاي', 'سيس', 'لبن', 'بعد', 'اطل', 'شرء', 'لقح', 'وهن', 'عم', 'قبرو', 'فرو', 'خدو', 'بلش', 'عند', 'بحق', 'بقى', 'حب', 'الى', 'شعب', 'لبن', 'عطو', 'لقح', 'نهم', 'جرم', 'عم', 'قلو', 'الف', 'مرة', 'يوم', 'صير']",positive
عاجل الأردن يستقبل أولى دفعات اللقاح الصيني الإماراتي سينوفارم الشعب سيأخذ لقاح الطبقة البرجوازية هاي فقير وغني صدق_حداد,info_news,1,"['عجل', 'ارد', 'قبل', 'ولى', 'دفع', 'لقح', 'صين', 'مرا', 'سينوفارم', 'شعب', 'أخذ', 'لقح', 'طبق', 'برجوازية', 'هاي', 'فقر', 'وغن', 'صدق_حداد']",positive
وقال المدعون جلسة استماع بمحكمة مقاطعة أوزاوكي ستيفن براندنبورغ أزال قارورة تحمل جرعات لقاح موديرنا التخزين المبرد بهدف جعلها صالحة للاستعمال واعترف براندنبورغ عاما للسلطات بأنه أزال عمدا قوارير اللقاح مناسبتين منفصلتين,info_news,-1,"['وقل', 'مدع', 'جلس', 'ماع', 'حكم', 'قطع', 'وزو', 'ستف', 'براندنبورغ', 'ازل', 'قرر', 'حمل', 'جرع', 'لقح', 'ودر', 'تخز', 'برد', 'هدف', 'جعل', 'صلح', 'عمل', 'عرف', 'براندنبورغ', 'عما', 'سلط', 'بأن', 'ازل', 'عمد', 'قوارير', 'لقح', 'نسب', 'فصل']",negative
وفاة موظف رعاية صحية أيام أخذه الجرعة الثانية لقاح فايزر والوفاة قيد التحقيق وكالعادة يقولوا ان الوفاة بسبب اللقاح,info_news,-1,"['وفة', 'وظف', 'رعي', 'صحة', 'ايم', 'اخذ', 'جرع', 'ثني', 'لقح', 'يزر', 'وفة', 'قيد', 'حقق', 'وكالعادة', 'يقل', 'ان', 'وفة', 'سبب', 'لقح']",negative
فيديو الأمير فيصل بن بندر الإجراءات المتخذة لتلقي لقاح كورونا أسهل يمكن الإخبارية,info_news,1,"['يدو', 'امر', 'يصل', 'بن', 'ندر', 'جرء', 'تخذ', 'تلق', 'لقح', 'كورو', 'سهل', 'يمكن', 'خبر']",positive
يسعى الرئيس الحريري جاهدا لتأمين لقاح الكورونا للبنانين شكل هبة للدولة شكرا _سعد_الحريري,plan,1,"['سعى', 'رئس', 'حرر', 'جهد', 'تأم', 'لقح', 'كورو', 'بنن', 'شكل', 'هبة', 'دول', 'شكر', '_سعد_الحريري']",positive
فرنسا تقصر استخدام لقاح أسترازينيكا الـ عاما,plan,1,"['رنس', 'قصر', 'خدم', 'لقح', 'استرازينيكا', 'الـ', 'عما']",positive
مش فئران حقل تجارب نريد لقاح_آمن,personal,1,"['مش', 'فئر', 'حقل', 'جرب', 'نرد', 'لقاح_آمن']",positive
كامالا هاريس تتلقى الجرعة الثانية لقاح كورونا,celebrity,1,"['كامال', 'هاريس', 'لقى', 'جرع', 'ثني', 'لقح', 'كورو']",positive
عاجل خادم_الحرمين_الشريفين حفظه الله يتلقى الجرعة الأولى لقاح كورونا كوفيد الله يحفظك يامولاي بردا وسلاما,celebrity,1,"['عجل', 'خادم_الحرمين_الشريف', 'حفظ', 'الل', 'لقى', 'جرع', 'ولى', 'لقح', 'كورو', 'كوفيد', 'الل', 'حفظ', 'يمل', 'برد', 'وسل']",positive
الأردن يستقبل الشحنة الأولى لقاح كورونا ونقلها مستودعات الأمصال والمطاعيم هنا_المملكة,info_news,1,"['ارد', 'قبل', 'شحن', 'ولى', 'لقح', 'كورو', 'نقل', 'ودع', 'مصل', 'مطاعيم', 'هنا_المملكة']",positive
لقاح كورونا يستوجب العزل أخذه ولماذا جرعتين وليست واحدة ومتى يكون الشخص آمن العدوى وإلى ستستمر الأجسام المضادة أجسامنا وهل يأخذ اللقاح سبقت إصابته بالعدوى,advice,0,"['لقح', 'كورو', 'وجب', 'عزل', 'اخذ', 'لمذ', 'جرع', 'ولس', 'وحد', 'متى', 'يكون', 'شخص', 'امن', 'عدى', 'إلى', 'سمر', 'جسم', 'ضاد', 'جسم', 'وهل', 'أخذ', 'لقح', 'سبق', 'صبت', 'عدى']",neutral
اللقاح الأمريكي أمن ومفيد أصبحت الولايات المتحدة الأمريكية الأعلى عدد الإصابات نريد_لقاح_آمن,personal,-1,"['لقح', 'امر', 'امن', 'فيد', 'صبح', 'ولي', 'تحد', 'امر', 'على', 'عدد', 'اصب', 'نريد_لقاح_آمن']",negative
عدد تلقى لقاح كورونا جدة بلغ شخص,info_news,1,"['عدد', 'لقى', 'لقح', 'كورو', 'جدة', 'بلغ', 'شخص']",positive
الصحة تطلق موقع حجز لقاح كورونا وهذه طريقة التسجيل فيديو,plan,1,"['صحة', 'طلق', 'وقع', 'حجز', 'لقح', 'كورو', 'وهذ', 'طرق', 'سجل', 'يدو']",positive
خادم الحرمين يتلقى الجرعة الاولى لقاح كورونا كوفيد وهذه المبادرة تؤكد حرصه سلامة الوطن حفظ الله خادم الحرمين الشريفين وابقاه ذخرا ودمت فخرا وللمسلمين,celebrity,1,"['خدم', 'حرم', 'لقى', 'جرع', 'ولى', 'لقح', 'كورو', 'كوفيد', 'وهذ', 'بدر', 'ؤكد', 'حرص', 'سلم', 'وطن', 'حفظ', 'الل', 'خدم', 'حرم', 'شرف', 'وبق', 'ذخر', 'ودم', 'فخر', 'سلم']",positive
ضلن مدري قدي فالقينا بالتوجه شرقا وقتا لقاحات والصين مقدمة لقاح أرخص وبجرعة وحدة بدن اللقاح الغربي اللي بيكلف اكتر ليه شو الصفقة وراها,others,1,"['ضلن', 'دري', 'قدي', 'فلق', 'توج', 'شرق', 'وقت', 'لقح', 'صين', 'قدم', 'لقح', 'رخص', 'جرع', 'وحد', 'بدن', 'لقح', 'غرب', 'الل', 'كلف', 'كتر', 'ليه', 'شو', 'صفق', 'ورا']",positive
جبران انت خطر علبنان انت وعمك ومين عم يشد بضهرك اكتر الكورونا ريت لقاح ضدك سعد الحريري اشرف منك عالقليلة طيارته عرق جبينه مش هدية صاحبه بنعرف شو مقابيلها بالنسبة للعفة تبعتك شفناها بالكهرباء وباقي وزاراتك منتهك ومستغل للسلطة,info_news,1,"['جبر', 'انت', 'خطر', 'علب', 'انت', 'وعم', 'ومن', 'عم', 'يشد', 'ضهر', 'كتر', 'كورو', 'ريت', 'لقح', 'ضدك', 'سعد', 'حرر', 'شرف', 'منك', 'عالقليلة', 'طير', 'عرق', 'جبن', 'مش', 'هدة', 'صحب', 'عرف', 'شو', 'مقابيل', 'نسب', 'عفة', 'تبع', 'شفن', 'كهرباء', 'وبق', 'وزر', 'نهك', 'سغل', 'سلط']",positive
بدون_وصفه تم بحمد الله وشكره تطعيم كرونا الأول بيسر وسهوله ونشكر وزارة الصحه التنظيم الرائع همم القمم الوطن الغالي المملكة العربية السعودية العظمى,personal,1,"['بدون_وصفه', 'تم', 'حمد', 'الل', 'شكر', 'طعم', 'كرو', 'اول', 'يسر', 'سهل', 'شكر', 'وزر', 'صحه', 'نظم', 'رئع', 'همم', 'قمم', 'وطن', 'غلي', 'ملك', 'عرب', 'سعد', 'عظمى']",positive
روسيا تشيد بإعلان الإمارات تسجل لقاح سبوتنيك للاستخدام الطارئ الإمارات_اليوم,celebrity,1,"['روس', 'تشد', 'إعل', 'امر', 'سجل', 'لقح', 'سبت', 'خدم', 'طرئ', 'امارات_اليوم']",positive
اخبار تطعيم فايزر_بيونتيك اليمن,info_news,0,"['خبر', 'طعم', 'فايزر_بيونتيك', 'يمن']",neutral
اقرأ زبدة أحداث اليوم دقائق تطعيم الكويت الأبطأ حائط صد نيابي فرض_الضرائب تعامل بـ الكاش الجهات الحكومية تعرف سريعا التفاصيل موجز_القبس عبر الرابط قراءة ممتعة,info_news,1,"['قرأ', 'زبد', 'حدث', 'اليوم', 'دقق', 'طعم', 'كوت', 'بطأ', 'حئط', 'صد', 'نيب', 'فرض_الضرائب', 'عمل', 'بـ', 'كاش', 'جهت', 'حكم', 'عرف', 'سرع', 'فصل', 'موجز_القبس', 'عبر', 'ربط', 'قرء', 'متع']",positive
جمال الكعبي وكيل دائرة الصحة أبوظبي تاريخ طويل الشائعات المرتبطة باللقاحات ومنذ ظهور لقاح كورونا يتعمد نشر الشائعات ولكننا نؤمن بالعلم اخترت_التطعيم يدا_بيد_نتعافى,info_news,1,"['جمل', 'كعب', 'وكل', 'دئر', 'صحة', 'وظب', 'ارخ', 'طول', 'شئع', 'ربط', 'لقح', 'منذ', 'ظهر', 'لقح', 'كورو', 'عمد', 'نشر', 'شئع', 'ولك', 'نؤم', 'علم', 'اخترت_التطعيم', 'يدا_بيد_نتعافى']",positive
زعيم إفريقي يتلقى لقاح سبوتنيك الروسي,celebrity,1,"['زعم', 'فرق', 'لقى', 'لقح', 'سبت', 'روس']",positive
بينما تحتفل إسرائيل بحملة تطعيم قياسي ملايين الفلسطينيين يعيشون السيطرة الإسرائيلية الضفة الغربية وقطاع غزة يتلقوا لقاح سيضطرون الانتظار لفترة أطول يوضح بشكل جلي سياسة التمييز المجحف الاسرائيلية,info_news,1,"['بين', 'حفل', 'رائيل', 'حمل', 'طعم', 'قيس', 'لاي', 'لسط', 'يعش', 'يطر', 'اسرائيلية', 'ضفة', 'غرب', 'قطع', 'غزة', 'تلق', 'لقح', 'ضطر', 'نظر', 'فتر', 'اطل', 'وضح', 'شكل', 'جلي', 'سيس', 'ميز', 'جحف', 'اسرائيلية']",positive
الفنان حسين_الجسمي يتلقى الجرعة الأولى لقاح كورونا,celebrity,1,"['فنن', 'حسين_الجسمي', 'لقى', 'جرع', 'ولى', 'لقح', 'كورو']",positive
دولة السعادة التسامح تم حرمان ابنة المعتقل عبدالسلام_درويش تلقي لقاح كوفيد_ وذلك كون والدها معتقل ومسحوبة الجنسية,info_news,-1,"['دول', 'سعد', 'سمح', 'تم', 'حرم', 'ابن', 'عقل', 'عبدالسلام_درويش', 'تلق', 'لقح', 'كوفيد_', 'وذل', 'كون', 'دها', 'عقل', 'سحب', 'جنس']",negative
الإمارات تعلن إنجاز ملايين جرعة لقاح,info_news,1,"['امر', 'تعل', 'جاز', 'لاي', 'جرع', 'لقح']",positive
تلقيت اليوم الجرعة الأولى لقاح فيروس نفع الله شاهدت بكل فخر مايحضى المواطن والمقيم أرضها الطاهرة مركز استقبال لقاح_كورونا شكرا خادم_الحرمين ولي_العهد حقيقة جهود وزارة الصحة ملموسة إستقبال وتنظيم وعناية فائقة شكرا معالي وزير_الصحة ومنسوبيكم النبلاء,personal,1,"['لقت', 'اليوم', 'جرع', 'ولى', 'لقح', 'يرس', 'نفع', 'الل', 'شهد', 'بكل', 'فخر', 'مايحضى', 'وطن', 'قيم', 'ارض', 'طهر', 'ركز', 'قبل', 'لقاح_كورو', 'شكر', 'خادم_الحرم', 'ولي_العهد', 'حقق', 'جهد', 'وزر', 'صحة', 'لمس', 'قبل', 'نظم', 'وعن', 'فئق', 'شكر', 'علي', 'وزير_الصحة', 'نسب', 'بلء']",positive
مدة الإنتظار لتلقي لقاح فايزر الموفر الإمارات حصرا تقل شهر لأي متقدم جديد مؤشر ممتاز لإقبال الجمهور التطعيم وجميل سيكون قامت الهيئة بتوسيع شبكة المراكز عبر التعاون المستشفيات الخاصة الموثوقة الإمارة لخفض مدة الإنتظار لأيام معدودة,info_news,1,"['مدة', 'نظر', 'تلق', 'لقح', 'يزر', 'وفر', 'امر', 'حصر', 'تقل', 'شهر', 'لأي', 'تقدم', 'جدد', 'ؤشر', 'متز', 'إقبال', 'جمهور', 'طعم', 'جمل', 'سيك', 'قمت', 'هيئ', 'وسع', 'شبك', 'ركز', 'عبر', 'تعا', 'شفي', 'خصة', 'وثق', 'مرة', 'خفض', 'مدة', 'نظر', 'أيم', 'عدد']",positive
فقط شخص وافقوا تلقيه استعدادات بمستشفى أبوخليفة للعزل لتلقي الأطقم الطبية لقاح كورونا,plan,-1,"['فقط', 'شخص', 'وفق', 'لقه', 'عدد', 'شفى', 'ابوخليفة', 'عزل', 'تلق', 'طقم', 'طبة', 'لقح', 'كورو']",negative
مصر تتسلم جرعة لقاح استرازينيكا اوكسفورد لمواجهة كورونا للتفاصيل,info_news,1,"['مصر', 'سلم', 'جرع', 'لقح', 'استرازينيكا', 'اوكسفورد', 'واج', 'كورو', 'فصل']",positive
دراسة لقاح_فايزر فعال ضد سلالات كورونا المتحورة,info_news,1,"['درس', 'لقاح_فايزر', 'فعل', 'ضد', 'سلل', 'كورو', 'تحر']",positive
ب_الحجر مش معروف اي نوع لقاح آخد,unrelated,0,"['_الحجر', 'مش', 'عرف', 'اي', 'نوع', 'لقح', 'اخد']",neutral
البحرين تتسلم شحنة لقاح أسترازينيكا أكسفورد المضاد لـ كورونا,info_news,1,"['بحر', 'سلم', 'شحن', 'لقح', 'استرازينيكا', 'كسفورد', 'ضاد', 'لـ', 'كورو']",positive
عمي شي بمخول العقل يعني فيروس مش معروفة طبيعتو مكوناتو ومش محسوم بينتقل وعبر شو واديش بعيش وكيف بيموت وبالتالي شبح مجهول ومخفي وصار الو لقاح لقاحات ما_رح_اتلقح ويلا,personal,0,"['عمي', 'شي', 'خول', 'عقل', 'يعن', 'يرس', 'مش', 'عرف', 'طبيعتو', 'مكوناتو', 'ومش', 'حسم', 'نقل', 'عبر', 'شو', 'ادش', 'بعش', 'وكف', 'يمو', 'وبالتالي', 'شبح', 'جهل', 'مخف', 'وصر', 'الو', 'لقح', 'لقح', 'ما_رح_اتلقح', 'ويل']",neutral
الملك محمد السادس يتلقى الجرعة الأولى اللقاح المضاد لفيروس كورونا خلال إشرافه بالقصر الملكي بفاس إطلاق الحملة الوطنية للتلقيح ضد كوفيد كوفيد_ لقاح_كورونا كورونا كورونا_المغرب المغرب محمد_السادس فاس,celebrity,1,"['ملك', 'حمد', 'سدس', 'لقى', 'جرع', 'ولى', 'لقح', 'ضاد', 'يرس', 'كورو', 'خلل', 'شرف', 'قصر', 'لكي', 'بفس', 'طلق', 'حمل', 'وطن', 'لقح', 'ضد', 'كوفيد', 'كوفيد_', 'لقاح_كورو', 'كورو', 'كورونا_المغرب', 'غرب', 'محمد_السادس', 'فاس']",positive
وصول لقاح كورونا لمندوبية وزارة الصحة لمدينة سلا كوفيد_ سلا فيروس كورونا كورونا_المغرب المغرب,info_news,1,"['وصل', 'لقح', 'كورو', 'لمندوبية', 'وزر', 'صحة', 'لمد', 'سلا', 'كوفيد_', 'سلا', 'يرس', 'كورو', 'كورونا_المغرب', 'غرب']",positive
شو إلو لزوم تأمين لقاح للناس اذا مش قادر تشيل طاعون الحقد قلب حزبك جعجع لبنان,personal,0,"['شو', 'الو', 'لزم', 'تأم', 'لقح', 'ناس', 'اذا', 'مش', 'قدر', 'تشل', 'طاع', 'حقد', 'قلب', 'حزب', 'جعجع', 'لبن']",neutral
