id,text,stance,predictions
445,ميركل ألمانيا ستستخدم لقاح سبوتنيك الروسي لو إجتاز اختبارات الفعالية والأمان وألمانيا منفتحة على كل اللقاحات شرط فعاليتها وسلامتها,1,positive
446,التطعيم بلقاح فايزر أو سينوفارم الصيني أو أي لقاح تعتمده وزارة الصحة الإماراتية يعد الآن ضروريا لكل أحد فلا تستمعوا إلى كلام المرجفين والذين يخوفونكم حكومة دولة الإمارات الرشيدة تسهم في القضاء على الوباء محليا وعالميا بمد يد العون للجميع وأرجو أن نكون جميعا بقدر هذه المسؤولية,-1,negative
447,الهند تبدأ تجارب لقاح كورونا الأنفي قريبا الرؤية_بلا_حدود,0,neutral
448,انا عارف يوم كورونا هتنتهي وهينزل لقاح فعال بنسبه وبلاش لكل الناس وهنمتح بردوا,1,positive
449,عاجل الملك والأمير الحسن وولي العهد يتلقون لقاح كورونا بترا بترا الاردن,1,positive
450,مقطع سوير توعيه بعد أخذ لقاح كورونا فخور فيك ياسوير,1,positive
451,مصادر هسبريس تفيد بأن طائرة بوينغ دريملاينر تابعة للخطوط الملكية المغربية أقلعت بعد زوال اليوم الخميس من مطار محمد الخامس نحو مطار مومباي الدولي بالهند من أجل جلب جرعات من اللقاح المضاد لفيروس كورونا المستجد طائرة المغرب لقاح الهند كورونا,-1,negative
452,العديد من الأشخاص يشعرون بالتردد تجاه تلقي لقاح كورونا فما هي الاعتقادات الشائعة التي تتداول حوله وما مدى صحتها,-1,negative
453,ولله الحمد اخذت اليوم الجرعة الاولى من لقاح كورونا بمركز لقاحات كورونا كل الشكر والتقدير لحكومتنا الرشيدة على الدعم والرعاية التي توليها لمواطنيها والشكر موصول لوزارة الصحة ولجميع القائمين على هذا التنظيم الرائع والمشرف ونفخر بشبابنا وشاباتنا المتألقين في ارض الحدث ماشاء الله,1,positive
454,لا تجوز مقارنة نسبة التطعيم في الكويت بالإمارات والبحرين مثلا في الكويت تم استخدام لقاح فايزر لأنه الوحيد مع موديرنا الذي انتهى من جميع أبحاثه وحاز على موافقة منظمة الغذاء والدواء الأمريكية في الإمارات والبحرين غالب النسبة للتطعيم الصيني والذي بدأ منذ أشهر كجزء من البحث,0,neutral
455,الشرق_عاجل بريطانيا تعلن ترخيص لقاح موديرنا للاستخدام الطارئ ضد فيروس كورونا عاجل,0,neutral
456,ما هي طريقه_الشفاء_من_كورونا_مدى_الحياه وهل سيتمكن أطباء البشر من إيجاد لقاح أو دواء له وهم لم يعرفوا حتى من أين غزاهم الله به ولا ما هية نشأته وهل فيروس كورونا له علاقة بالبشر أم أنه فيروس بشري,-1,negative
457,عاجل مولاي خادم_الحرمين_الشريفين حفظه الله يتلقى الجرعة الأولى من لقاح كورونا كوفيد,1,positive
458,هل سيتلقى راغب علامة لقاح كورونا هذا ما كشفه مشاهير فن راغب_علامة سوبرستار لبنان لقاح وباء فيروس كورونا بيروت,0,neutral
459,من سيتلقى لقاح كورونا بعد وصوله إلى لبنان السياسيين ام الشعب الجواب مع النائب عاصم عراجي رئيس اللجنة النيابية الصحية,0,neutral
460,الحمدلله اليوم اخذت اول جرعة من لقاح سينوفارم الصيني لقاح_كورونا كورونا لقاح_كوفيد_,1,positive
461,شوف تاثير تطعيم_كورونا في بريطانيا خلال مدة قصيرة نزلت عدد حالات الاصابة في كورونا بنسبة وهذا فقط بعد تطعيم مليون شخص الجرعة الاولى وتطعيم الف شخص الجرعة الثانية شدوا حيلكم الحل في الاستعجال في حملة_التطعيم_الشاملة تاخيرها يكلفنا الكثير من الارواح,-1,negative
462,الإشاعة بعد أخذ مطعوم كوفيد_ لا داعي للاستمرار في اتباع تدابير السلامة الوقائية والإجراءات الاحترازية الحقيقة,-1,negative
463,مجلة ذي لانسيت لقاح سبوتنيك الروسي فعال بنسبة بالمئة,1,positive
464,شاهد غرفة تطعيم الأطقم_الطبية بـ لقاح_كورونا بـ مستشفى_أبو_خليفة بـ الاسماعيليه,0,neutral
465,معالي الوزير علي النعيمي بعد اخذه لقاح كورونا وقصة العروس الله يمد بعمره بالصحة والعافية رجل اجمع الجميع على حبه وتقديره وافنى عمره في خدمة الوطن ومصلحة الوطن,1,positive
466,منظمة الصحة العالمية متحيزة لصالح التكنولوجيا الأميركية التي لم يتم اختبارها بشكل كاف والتي يمكن أن تخاطر بحياة العديد من الأشخاص حول العالم من أجل جذب الولايات المتحدة للعودة إلى المنظمة لن نكون حقل تجارب لأميركا نريد لقاح_آمن,1,positive
467,زعيم ديني يهودي شهير أخذ لقاح كورونا سيحولكم إلى مثليين,-1,negative
468,صحة_دبي تتسلم الشحنة الأولى من لقاح استرازينيكا لتضيفها إلى قائمة اللقاحات المضادة لمرض كوفيد التي توفرها في منشآتها الطبية والشحنة الأولى قادمة من الهند وذلك بفضل الجهود التي بذلتها وزارة الخارجية والتعاون الدولي الإماراتية بالتعاون مع الخارجية الهندية,1,positive
469,جو_بايدن سنوزع مليون جرعة تطعيم لكورونا في أول يوم من إدارتي وسنقدم خطة للتعافي وعودة الطلاب للمدارس ومساعدة العائلات الأميركية,1,positive
470,عاجل خادم_الحرمين_الشريفين حفظه الله يتلقى الجرعة الأولى من لقاح كورونا كوفيد الملك_يتلقى_لقاح_كورونا,1,positive
471,الحمد لله تلقيت اليوم الجرعة الثانية من لقاح_كورونا أتقدم بالشكر لقيادتنا الرشيدة لحرصها الدائم على صحة الفرد والمجتمع وأذكر جميع من أخذ الجرعة الأولى بضرورة أخذ الجرعة الثانية في موعدها حفظكم الله من كل سوء,1,positive
472,هناك مليونيرا في لبنان ماذا لو ف رضت الضريبة على ثرواتهم أ نج ز هذا الإنفوغراف بدعم من مؤسسة أوكسفام محاربة_الفقر محاربة_اللامساواة فيروس_اللامساواة لقاح_الناس لبنان_ينتفض,-1,negative
473,ما هى إجراءات الحصول على لقاح_كورونا بعد التسجيل بالموقع وزارة الصحة تجيب,0,neutral
474,رئيس اندونيسيا يتلقي لقاح كورونا وارتجاف ورعشة ايادي الدكتور او الممارس الصحي وقت اعطاء اللقاح للرئيس يصبح مثار سخرية ونقاش كبير في مواقع التواصل عينكم علي الرجفة اللي هو فيها يا انه خايف من الموقف والاعلام والصحافة ولا ما افطر,-1,negative
475,حسب الدراسات لقاح أكسفورد ضد كوفيد غير فعال بتحفيز جهاز المناعه لأنتاج الأجسام المضاده لمكافحة الفيروس لمن هم فوق سنه لذلك لا تنصح الهيئات الصحيه بهالدول بأخذ تطعيم اكسفورد لمن فوق سنه ما منه فايده ما لكم الا فايزر حق اللي فوق,0,neutral
476,لقاح_كورونا والدول الفقيرة,-1,negative
477,فيديو سمو الأمير بندر_بن_سلطان بن عبدالعزيز يتلقى الجرعة الأولى من لقاح_كورونا,0,neutral
478,أوروبا تسعى لتأمين مليون لقاح فايزر بيونتيك بالربع الثاني في العام الحالي من أصل مليون جرعة تستهدف الحصول عليها بنهاية العام,1,positive
479,عاجل مصادر تطعيم الأطباء يبدأ غدا من مستشفيي أبوخليفة والعجوزة للعزل تحدي_الكمامة,0,neutral
480,منظمة اليونسيف سنوفر مليار جرعة من لقاح كورونا لـ دولة فقيرة نيويورك,0,neutral
481,تركيا وزير الصحة قوجة يتلقى أول جرعة من لقاح كورونافاك الصيني في مستشفى بالعاصمة أنقرة,-1,negative
482,هل أكرم إمام أوغلو هو من أعطى لقاح كورونا لأردوغان اليوم التفاصيل,0,neutral
483,مساء الخيرات جميعا اليوم الثالث بعد الجرعة الثانية من تطعيم فايزر بايونتيك لا أعراض نهائيا لدرجة إني نسيت اخبركم الجديد هو شعوري النفسي بالأمان بالرغم من أنني ساستمر في لبس الكمام وغسل اليدين والتباعد الاجتماعي الحمدلله رب العالمين والفضل والمنة,1,positive
484,فيديو مراسل الإخبارية يتلقى لقاح كورونا,0,neutral
485,لن تعود الحياة لطبيعتها السابقة حتى يتم تطعيم أغلب المجتمع والسكان هذا كلام مهرجي السيرك الطبي ولا نزال بالبداية أمامنا الجزء الثاني من المسرحية هذه السنة هي سنة اللقاحات وربطها بكل مجالات الحياة وإجبار الناس عليها لا أكثر ولا أقل,1,positive
486,الصيدليات المجتمعية في بريطانيا تبدأ في إعطاء لقاح كورونا,0,neutral
487,تر ق بوا جاري ماجيستر في علم التنظير بآخر تحليلاته عن لقاح وباء كورونا المكان مدخل البناية الزمان المحاضرة برعاية دخان الجار سيدرس يتخلل المحاضرة تدشاية حسب نوع غذاء المحاض ر,0,neutral
488,أي دكتور يقولك إن فيه لقاح آمن ومعتمد حط هالرابط بعينه وقوله كافي جذب إدارة الغذاء والدواء الأميريكية هي من صرحت بأن لا يوجد لقاح معتمد وهو لقاح تجريبي انت عندك عقل وحر مو مناديب مافيا اللقاحات يتحكمون بحياتك,0,neutral
489,مدير الأمن العام الفريق أول ركن خالد الحربي يتلقى الجرعة الأولى من لقاح كورونا,0,neutral
490,سويسرا تنضم إلى الدول المتأثرة بشدة بالنقص في توريد لقاح كورونا حيث أعلن المكتب الاتحادي للصحة أن عدد الأشخاص المستهدف تلقيحهم في فبراير المقبل سيتقلص إلى النصف التفاصيل سوسرا فيروس كورونا صحة لقاح,-1,negative
491,بارغواي تسجل لقاح سبوتنيك الروسي ضد كورونا,0,neutral
492,فيديو وزير_الصحة يتلقى الجرعة الثانية من لقاح كورونا عكاظ ان_تكون_اولا تطبيق_عكاظ,0,neutral
493,من قلب الحدث عجايز الحارة يحلفن إنهن م يروحن ياخذن لقاح كورونا م عرفت أنصح ولا أضحك,1,positive
494,إصابة شخصا بشلل فى الوجه بعد تلقيهم لقاح كورونا بإسرائيل,-1,negative
495,يا جماعة فيه عدة انواع من اللقاحات الصينية اللقاح اللي عندنا هو لقاح شركة سينوفارم وفعاليته ممتازة فوق الثمانين بالمائة لكن اللي تسمعون عنه في الاخبار عن لقاح صيني فعاليته قليلة وما تتجاوز الخمسين بالمائة هو لقاح سينوفاك الصيني وليس سينوفارم لذلك وجه التنويه,0,neutral
496,محدش شاف اللقاح بتاع الكورونا ده ي جدعان اصل الناس ف الدول الي حوالينا بتاخده بقالها شهر واكتر واحنا هنا لسه بنتناقش ف مؤخرة الفنانة رانيا يوسف المشكلة ان كان ف اخبار هنكون م أوائل الدول الي هتاخد اللقاح وكدة بس هو الوضع لو استمر كدة شهر كمان مش هنحتاج نجيب لقاح اصلا,-1,negative
497,نريد_لقاح_آمن حتى ترجع الحياة الى طبيعتها بعدما اوقف الفايروس كل شي,-1,negative
498,فتح تحقيق في امريكا بعد وفاه الطبيب جريجوري بعد تناول لقاح فايزر طوالسنه لم يحدث له اي شيء ولكن بعد ايام من اللقاح حدث اضطراب الدم المؤدي للوفاه الجسم يهاجم الصفائج تحليل الدم بالكامل طبيعي الصفائح صفر بدلا من الف,-1,negative
499,لقيوا لقاح كورونا والاستييييذ بعده لزق_عالكرسي,-1,negative
500,عضو اللجنة العلمية لمتابعة ورصد تفشي كورونا رياض مهياوي درسنا اللقاحات واخترنا أفضلها للجزائريين اختيارنا الأول وقع على اللقاح الروسي يليه اللقاح الصيني وأخيرا لقاح استرازينيكا لازلنا متمسكين بأن اللقاح سيصل الجزائر قبل نهاية شهر جانفي,1,positive
501,أدوية السرطان ز و ر وها كيف بنوثق فيهن بعد من ناحية لقاح الكورونا بس_خبروني _اللي بيقت ل مر ة بيقت ل غيرها _المجرم واللي مغطي عنو مجرم _الحرامي والفاسد واللي مغطي عنو متلو هيدا_لبنان,-1,negative
502,قمت اليوم بالإشراف الميداني على حملة التوعية_بأخذ_لقاح_كوفيد المقامة في مستشفى الأسنان الجامعي التطوع سعادة حياة ومتنفس فكيف إذا كان مع فريق منظم ومميز,1,positive
503,الشعب دولتنا الدولة نعم الشعب وين صار لقاح كورونا الدولة في كمية واصلة بس النا نحنا المهمين الشعب ونحنا الدولة,0,neutral
504,الهند تستعد لتوزيع جرعات لقاح_كورونا مع بدء أكبر حملة تطعيم فى العالم,1,positive
505,الرئيس الروسي يأمر بإطلاق حملة تطعيم شاملة ضد فيروس كورونا بداية من الاثنين المقبل,0,neutral
506,الشرق_عاجل موديرنا تقول إنها ستسلم الولايات المتحدة مليون جرعة لقاح بحلول مارس عاجل,0,neutral
507,الظاهر بيطلع كوفيد وانا لسى ما اخذت لقاح كوفيد,0,neutral
508,هل صحيح ان الوكيل اول توجه الى مصر لعلاج التيفود واوجاع في الظهر والمخافظ يصرف له الف دولار وابلغه ان يتصل اذاحتاج اموال اخرى وهل الاصابة بالتيفود يسفر للخارج مع العلم ان لقاح التيفود متوفر حتى في الصومال بينما هناك عشرات لمواطنين وجرحى تستدعي السفر يتركون اما الموت ولاعلاج,-1,negative
509,خادم_الحرمين_الشريفين خادم الحرمين الشريفين الملك_سلمان حفظه الله يتلقى الجرعة الأولى من لقاح كورونا,1,positive
510,مواطنة عام تتلقى لقاح كورونا الشارقة_للأخبار الإمارات,0,neutral
511,لقاح ڤايزر وصل على الأردن اتمنى من الفنانيين و السياسيين اللبنانيين يتوجهوا عالأردن ملاحظة مجاني يلا عالسريع ركض,0,neutral
512,اسباب خربان البلد أن لولا الهاء ووزير مع رياض اضاعوا البلد مع السرقة والنهب والبلطجة مع الدعم الخارجي والاتفاق معه لإبقاء الوضع بتدهور في البلد وعدم الاستقرار الاقتصادي والأمني والمالي مع الاتفاق تحت الطاولة مع سمير وسعد ووليد نطلب لكم لقاح لوباء خربان البلد يلي_استحوا_ماتوا,-1,negative
513,الأمير عبدالرحمن بن مساعد بعد تلقيه ثاني جرعات لقاح_كورونا لا وساطة,0,neutral
514,محمد_بن_زايد بجهود فخر الإمارات الأبيض نجحنا بتقديم أكثر من مليون و ألف جرعة لقاح إلى المواطنين والمقيمين في الدولة وهذا يؤكد نجاح سير عملية التطعيم ضد كورونا نشكر القائمين عليها ونقدر جهودهم بتكاتف الجميع سنصل إلى المعدلات المستهدفة سريعا ونمضي إلى طريق التعافي وام,1,positive
515,حياكم الله في برنامج جواب_جريء لقاح بين نعم أو لا وأتشرف أنه تم إختياري لنقاش علمي مع المعارض الدكتور_انطوان_بربري البروفيسور في كلية الطب لبنان ورئيس قسم الكلى وزراعة الكلى ورئيس جمعية الشرق الأوسط لزراعة الكلى المؤيد الدكتور_اسامة_العنزي تطعيم_كورونا كورونا,1,positive
516,عاجل مصر تتلقى أولى دفعات لقاح أوكسفورد البريطاني غدا الأحد التفاصيل صدى_البلد,0,neutral
517,الاردن وخطتها باعطاء لقاح كورونا,1,positive
518,سنة تنطلق حامية الوطيس في وقت كان الجميع ينتظر دخول لقاح فيروس كورونا الذي تعثر وصوله إلى البلاد المغرب يسجل أول حالة إصابة مؤكدة بالسلالة المتحورة للوباء وتسارع الحكومة إلى إعلان تعليق الرحلات الجوية مع دول أستراليا والبرازيل ونيوزلندا وإيرلندا,-1,negative
519,إمام وخطيب المسجد الحرام الشيخ د عبدالله الجهني من فعل الأسباب أخذ لقاح كورونا حسب الإجراءات الصحية وعدم تصديق إشاعات المرجفين,0,neutral
520,كل لي عم يتقبروا ع لقاح كورونا كانوا اعلنوا سابقا انه ما رح يعملوه,-1,negative
521,وايضا الابتعاد عن اللقاح اللى يباع على شكل بودره لانه ما يعرف ما هو صنف الفحل اللى ماخوذ منه اللقاح اذا كان بفعل هو لقاح صافي بدون اضافة اى مواد اخري نتمني لكم موسم جيد لمحصول التمور سيف السعيدي,-1,negative
522,الرجاء عدم التهاون في اخذ لقاح كورونا مريض من دوله عربية اصيب بعدم اتزان بعد اصابته بكرونا وتأثر الحبل الشوكي حيث اقعده في البدء تماما و الان بعد العلاج الدوائي و الطبيعي تحسن ملحوظ مع بعض البطىء و الم في الساقين والذي سنكمل معالجته,-1,negative
523,معقول في مسؤولين أخذوا لقاح فيروس كورونا عالسكت بلبنان معقول,-1,negative
524,الإمارات تحقق أعلى معدل توزيع جرعات لقاح كوفيد_ للفئات المؤهلة طبي ا بمعدل تجاوز جرعة لكل شخص اخترت_التطعيم يدا_بيد_نتعافى,1,positive
525,تقريبا ثلثي الناس في ألمانيا يودون أن يأخذوا لقاح_كورونا الآن قبل شهر كانوا بحدود النصف حسب تلفزيون الألماني الحكومة تعتقد أنها نجحت باقناع الناس عن طريق دعايات أهمية اللقاح أو ندرة اللقاح في ألمانيا وصعوبة الحصول عليه رغبت الناس به,-1,negative
526,أصبح بيل جيتس بطل ا لنظرية المؤامرة أثناء جائحة فيروس كورونا يعتقد أنصارها أن الفيروس ظهر وانتشر من خلال خطأ الملياردير والرئيس السابق لشركة الذي ي زعم أنه يخطط للاستفادة من لقاح,-1,negative
527,القرار من زمان لا لقاح غير اللقاح الايراني كورونا,0,neutral
528,إنتاج لقاح سبوتنيك في تركيا,0,neutral
529,گضو عمرهم القاعدة يسمونة مجوس وفرس وروافض تالي طلعت ايران تدعمهم هههههههههههههههههه نريد_لقاح_امن,-1,negative
530,الشبيبة بايدن يعد بتوفير مليون جرعة من لقاح كورونا خلال الـ يوم الأولى,1,positive
531,عاجل العاهل السعودي يتلقى الجرعة الأولى من لقاح فيروس كورونا,0,neutral
532,الدولة التي ملأت بلادنا باليورانيوم لا نريد منها لقاحا نريد_لقاح_آمن,1,positive
533,احصاء سريع كم مسؤول سافر الى دولة اخرى لتلقي اللقاح من غير اللبنانيين طبعا لقاح_كورونا,0,neutral
534,سيدة ثمانينية أول من تلقى لقاح كورونا في محافظة العقبة الأردن_ حكاية__عام هنا_المملكة,1,positive
535,الامم_المتحده تدعم خطة مصر لتوزيع لقاحات فيروس_كورونا لقاح_كورونا للتفاصيل,1,positive
536,الأمير تركي بن هذلول يتلقى الجرعة الأولى من لقاح كورونا نجران,0,neutral
537,أول أيام اللقاح للمواطنين وزيرة الصحة ترافق أول طبيب وأول ممرض مصري يحصلان على جرعة لقاح فيروس كورونا من داخل مستشفى عزل أبو خليفة في الإسماعيلية مؤكدة سلامة اللقاح ونجاحه في التجارب,1,positive
538,صورة الرئيس أردوغان أثناء تلقيه لقاح كوفيد_,0,neutral
539,صور أمير منطقة المدينة_المنورة الأمير فيصل بن سلمان وسمو نائبه الأمير سعود بن خالد الفيصل يتلقيان الجرعة الأولى من لقاح كورونا,0,neutral
540,طائرة مغربية تقلع نحو الصين لشحن لقاح الجائحة مجتمع _ساعة الدفعة_الأولى_من_لقاح_سينوفارم,0,neutral
541,مش عارف ليش المثق فين الفلسطيني ين طالعين بكل زاوية يحكوا للن اس عن عنصرية الاحتلال بتوزيع الل قاح وبعرفش شو مهو احتلال يا ولاد الص رمة بدناش لقاح وبدناش إشي من ه وفش حدا بالش ارع فارقة على طيزه لقاح تقرفوش سمانا,-1,negative
542,التعليم لن تعود الدراسة حضوريا حتى يتم التأكد من ضمان سلامة الطلاب أولوية للمعلمين والمعلمات في أخذ لقاح كورونا ستتم الاستفادة من التعليم عن ب عد حتى بعد انتهاء الجائحة,1,positive
543,وزير الدفاع الإسرائيلي سننقل آلاف جرعة من لقاح كورونا إلى الفلسطينيين لتطعيم الكادر الطبي الإمارات_اليوم,0,neutral
544,شاهد الأمير مقرن_بن_عبدالعزيز برفقة وزير الصحة أثناء تلقيه لقاح_كورونا في الرياض,0,neutral
545,وكالة الأنباء رويترز تلقى المغرب مليوني جرعة من لقاح كوفيد_ التابع لشركة أسترازينيكا يوم الجمعة ليصبح أول بلد أفريقي يحصل على شحنة كبيرة بما يكفي لبدء تنفيذ برنامج تحصين مجاني على مستوى البلاد,1,positive
546,أسميه دجل لما يدافع بروفيسور من فرنسا عن اللقاح الروسي سبوتنيك و عن ضرورة تطعيم الجزائريين ضد فيروس كورونا وتحسيسهم لكي لا تعود الجزائر الى الغلق وتآكل اقتصادها الرئيس يعالج في ارقى المستشفيات الاوروبية والشعب القطيع عليه ان يل قح ضد كورونا بلقاح زوج دورو,-1,negative
547,نريد_لقاح_آمن حتى نأمن صحة اطفالنا في المستقبل,1,positive
548,هل لقاح كورونا يشكل خطرا على من خضعوا لحقن الفيلر تابع جميع الحلقات على صباح_الخير_يا_عرب,-1,negative
549,سمو قائد القوات الجوية الملكية السعودية يتلقى الجرعة الأولى من لقاح كوفيد,0,neutral
550,تلقى اليوم الشيخ ناصر بن عواد ابوجلدة المحياوي الجرعة الأولى من لقاح كورونا كوفيد وذلك ضمن الخطة الوطنية للقاح التي تنفذها وزارة الصحة شكرا للقيادة الرشيدة حفظها الله على اهتمامها في صحة الإنسان وسلامته,1,positive
551,هل هذا يعني اني ضد لقاح سينوفاك طبعا لا هل انا مع الشفافية وحرية الاختيار طبعا وهذا الاسلوب في الخطاب والتخبط بموضوع اللقاحات وغياب الشفافية والصراحة دليل اخر على فشل الحكومة,-1,negative
552,ياريت الناس الطيبه تبطل عاده اللي فقلبي على لسانى وترحمنا من القلب الابيض دا سلامتك بس انتى تعبتى ليه مع انك اخدتى تطعيم بفلوس اد كدا معلش نصيبى ودوخه ايه من الدوا والا التعب اصل مفيش ادويه بتدوخ انا حاسه ان السبب فى الكمامه مبتقلعيهاش وبرضه تعبتى ارد اقول ايه,-1,negative
553,فور تبلغ النائب الأمين سليم_سعاده من غيورين بأنه لم يتم لحظ مركز لتلقي لقاح الكورونا في قضاء الكورة قام بالتواصل مع وزراء الكورة وبنتيجة التواصل مع الوزراء المعنيين تم إعتماد مستشفى الكورة كمركز لتلقي لقاح الكورونا فور توفره في لبنان,0,neutral
554,من الاخر صورة الوليد الحلاني هو وعم يتلقى لقاح كورونا ب دبي مستفزة لا بل بحطها ضمن اطار قلة الاخلاق من جانب كل بيت عاصي الحلاني هني حرين يعملو لي بدن ياه بس مجبورين كفنانين يحسو مع الشعب اللبناني لي عم يموت يوم بعد يوم,-1,negative
555,وزيرة تنمية المجتمع تشهد المرحلة الثانية من تطعيم كبار المواطنين بـ دبي وام,1,positive
556,الصحة تعلن عن عدد جرعات لقاح كورونا اليوم وام برق_الإمارات,0,neutral
557,عاجل كبير مستشاري بايدن الطبيين أنتوني فاوتشي خطة تقديم مليون جرعة من لقاح كورونا يوميا تبدأ من الآن,0,neutral
558,مريض كلى و تفكر هل تطعيم_كورونا مناسب لك لديك قصور في الكلى مريض غسيل كلى مريض كلى على وشك الزراعة قبل الزراعة مريض كلى وعملت زراعة من مدة طويلة و على جرعات بسيطة من المثبطات استشير طبيبك و مريض كلى وعملت زراعة مؤخرا يفض ل الانتظار و استشارة طبيبك,-1,negative
559,يللي ما قدر يحمي حياة الناس من الكورونا ما رح يقدر يدير خطة لقاح عجيب_ومش_عجيب,-1,negative
560,اردوغان الارهابي لا يفكر بشعبه فكل ما يشغل باله هم اعوانه بحزب العدالة و التنمية فهو يوفر لقاح كورونا بضعف الثمن للشعب التركي و يعطيه للسياسيين مجانا,-1,negative
561,وزارة الصحة تبدأ غد ا التطعيم بالجرعة الثانية من لقاح فايزر بيونتيك الم ضاد لفيروس كورونا كوفيد للمستهدفين الذين تلقوا الجرعة الأولى خلال الأسابيع الماضية استكمال ا للمرحلة الأولى من الحملة الوطنية للتحصين ضد كوفيد في السلطنة مع الجدول الزمني الم قرر لتنفيذ الحملة,0,neutral
562,انتقد عاهل الأردن الملك عبد الله الثاني إسرائيل لعدم تقديمها لقاح كورونا للفلسطينيين داعيا إلى التوزيع الفاعل والعادل للقاح المضاد للفيروس عبر العالم,-1,negative
563,للعلم لقاح استرازينيكا القادم لم يتم اعتماده من قبل ال ولم يتم ترخيصه للاستخدام الطارئ من قبل ال استمتع,0,neutral
564,تحديث عن اللقاح مركز التحكم بالأمراض العالمي يجيز الانتظار إلى اسابيع للجرعة في حال عدم توفرها أيض ا تحت ظروف نادرة يمكن آخذ الجرعة الثانية من اي لقاح متوفر سواء فايزر أو موديرنا بينهما يوم ا لانهم يعملون بنفس الطريقة ولتوفير اكبر عدد لقاحات للناس نتفائل خير ا,1,positive
565,د إيهاب الطاهر ينتقد بيع لقاح كورونا للمواطنين تكاليف علاج المصابين أعلى من تطعيمهم والحكومة تخصم من المرتبات لمقاومة الفيروس أمين الأطباء السابق اللقاح لا يمكن أن يكون امتيازا ويجب أن يكون متاحا للجميع لا تفسدوا الطبخة بقليل من الملح,-1,negative
566,أعلنت وزارة الصحة في دولة الإمارات اليوم عن اعتمادها لقاح الروسي للاستخدام في حالات الطوارئ يقول البيان أيضا أن الإمارات استضافت المرحلة الثالثة من التجارب السريرية والتي أظهرت استجابة قوية للأجسام المضادة وسلامة الاستخدام بدون أي تفاصيل أخرى,1,positive
567,إليكم لحظة تلقي فريق الجرعة الأولى من لقاح_كورونا في دبي,0,neutral
568,تعرف على آخر مستجدات تلقي لقاح فيروس كورونا المستجد في دولة الإمارات اليوم السبت يناير اخترت_التطعيم,0,neutral
569,لماذا نحتاج إلى أكثر من جرعة لقاح وهل يجب تلقيح من أصيب وأيهما أفضل مناعة العدوى أو مناعة اللقاح فيديو لمشاهدة المزيد من الفيديوهات,-1,negative
570,سيأتي من دولة أمينة لقاح_آمن,1,positive
571,نشرت اليوم مجلة جاما الطبية نسبة الحساسية بسبب الجرعة الاولى لقاح كورونا بيفايز التي ظهرت بعد تطعيم مليون و شخص وهي لكل مليون اي وهي اقل من لقاح الإنفلونزا وتم تنويم منهم ولم تسجل اي حالة وفاة الدراسة والجدول الذي يوضح تفاصيل الحالات ال كوفيد,-1,negative
572,المغرب يتسلم مليون جرعة من لقاح أسترازينيكا المضاد لفيروس كورونا,1,positive
573,الإمارات تعلن تطعيم أكثر من مليوني شخص بـ لقاح فيروس كورونا,1,positive
574,دعبول حضرتك منو انت وتطلب من قائد دولة إسلامية لقاح لعد ما اتابع الاخبار هم بكل مجالاتهم متفوقين وراح يطلع اللقاح قريبا دعبول_دومه_مسحول,-1,negative
575,أعلنت المفوضية الأوروبية عن موافقتها على شراء مليون جرعة إضافية من لقاح كورونا المنتج لدى شركتي فايزر الأمريكية و بيونتيك الألمانية ليرتفع بذلك إجمالي جرعات اللقاح التي وافق الاتحاد على شرائها إلى مليون جرعة,1,positive
576,عضو الكونغرس الديمقراطي ادريانو اسبيلات يعلن إصابته بفيروس كورونا بعد تلقيه الجرعة الثانية من لقاح كورونا الأسبوع الماضي,-1,negative
577,اللقاح اختياري وليس إجباري ويتم من خلال جرعتين بفارق زمني أسابيع بين الجرعتين ويجب الاستمرار في اتباع التدابير الوقائية وسط المجتمع من لبس الكمام والتباعد الجسدي وغسل اليدين حتى ولو تم أخذ اللقاح وام كوفيد لقاح_كوفيد_ صحة دكتورة_فريدة_الحوسني,0,neutral
578,كشفت الصحفية والطبيبة الفرنسية ماري كاستريت في مقال لها في Éé فضيحة الدم الفرنسي الملو ث حيث قام المركز الوطني الفرنسي لنقل الدم بتصدير منتجات الدم المصابة بفيروس إلى إلى العديد من دول العالم بينها إيران والعراق لقاح_امن,-1,negative
579,الإمارات تعلن تسجيل لقاح سبوتنيك الروسي المضاد لفيروس كورونا للاستخدام الطارئ,0,neutral
580,فيديو خادم الحرمين الشريفين الملك سلمان بن عبدالعزيز يتلقى جرعة لقاح كورونا ضمن حملة أطلقتها المملكة لتلقيح المواطنين والمقيمين وتشجيعهم على التسجيل للتلقيح ليبيا المرصد,0,neutral
581,بحمد الله وفضله تلقيت اليوم الثلاثاء يناير م الجرعة الثانية من لقاح_كورونا جزيل الشكر وعظيم الامتنان لقيادتنا حفظها الله والشكر لوزارة الصحة على جهودهم المميزة وعملهم الاحترافي دام_عزك_ياوطني,1,positive
582,القناة العبرية من الذين تلقوا الجرعة الثانية من لقاح كورونا في إسرائيل أبلغوا عن أعراض عانوا منها خلال ساعة بعد الحقن ومن الأعراض شعور بالضعف والهزلان حمى غثيان دوار صداع آلام في العضلات ألم موضعي في موقع الحقن,-1,negative
583,الملك_يتلقي_لقاح_كورونا الله يطول عمرك ويديم عليك الصحه والعافيه يابو فهد,1,positive
584,خبر مبهج أن ينجح باحثون سعوديون في تطوير لقاح ضد كورونا وإن كان في مراحله الأولى,1,positive
