text,category,stance,sentiment,words,errors,errors_count,sentence_length
سبب الإصرار اللقاح الأمريكي وجود مصادر أمانا,rumors,0,neutral,"['سبب', 'الإصرار', 'اللقاح', 'الأمريكي', 'وجود', 'مصادر', 'أمانا']","{'الأمريكي', 'سبب', 'وجود', 'اللقاح', 'أمانا', 'الإصرار', 'مصادر'}",7,44
تدريبات وهمية أيام انطلاق برنامج لقاح ,info_news,1,positive,"['تدريبات', 'وهمية', 'أيام', 'انطلاق', 'برنامج', 'لقاح']","{'لقاح', 'انطلاق', 'أيام', 'وهمية', 'تدريبات', 'برنامج'}",6,38
وزير الخارجية الأمير فيصل بن فرحان يتلقى الجرعة الأولى لقاح فيروس كورونا,celebrity,1,positive,"['وزير', 'الخارجية', 'الأمير', 'فيصل', 'بن', 'فرحان', 'يتلقى', 'الجرعة', 'الأولى', 'لقاح', 'فيروس', 'كورونا']","{'كورونا', 'فيصل', 'الأولى', 'لقاح', 'وزير', 'فرحان', 'الأمير', 'فيروس', 'الجرعة', 'بن', 'الخارجية', 'يتلقى'}",12,72
الاحتلال يسجل حالة شلل خفيف بالوجه إثر تلقي لقاح كورونا,info_news,0,neutral,"['الاحتلال', 'يسجل', 'حالة', 'شلل', 'خفيف', 'بالوجه', 'إثر', 'تلقي', 'لقاح', 'كورونا']","{'كورونا', 'لقاح', 'الاحتلال', 'حالة', 'بالوجه', 'شلل', 'يسجل', 'تلقي', 'خفيف', 'إثر'}",10,55
البيض كلمة السر مصري يكتشف لقاح جديد ضد ,info_news,1,positive,"['البيض', 'كلمة', 'السر', 'مصري', 'يكتشف', 'لقاح', 'جديد', 'ضد']","{'السر', 'كلمة', 'لقاح', 'جديد', 'يكتشف', 'البيض', 'مصري', 'ضد'}",8,40
الخير   اللي خذ لقاح كوفيد يرفع يده,personal,1,positive,"['الخير', 'اللي', 'خذ', 'لقاح', 'كوفيد', 'يرفع', 'يده']","{'يرفع', 'لقاح', 'كوفيد', 'الخير', 'خذ', 'يده', 'اللي'}",7,35
تكون خاطب جديد حماتك بدا لقاح كورونا,personal,0,neutral,"['تكون', 'خاطب', 'جديد', 'حماتك', 'بدا', 'لقاح', 'كورونا']","{'كورونا', 'بدا', 'حماتك', 'لقاح', 'جديد', 'تكون', 'خاطب'}",7,36
صور لعمليات شحن لكميات لقاح فايزر بينها الكمية وصلت اليوم للأردن ,info_news,1,positive,"['صور', 'لعمليات', 'شحن', 'لكميات', 'لقاح', 'فايزر', 'بينها', 'الكمية', 'وصلت', 'اليوم', 'للأردن']","{'اليوم', 'بينها', 'لكميات', 'لقاح', 'لعمليات', 'الكمية', 'فايزر', 'للأردن', 'صور', 'وصلت', 'شحن'}",11,65
الخبير الشؤون الأوروبية حسين الوائلي يفسر لـ عربي المقصد تصريحات رئيس المجلس الأوروبي بشأن لقاح,info_news,1,positive,"['الخبير', 'الشؤون', 'الأوروبية', 'حسين', 'الوائلي', 'يفسر', 'لـ', 'عربي', 'المقصد', 'تصريحات', 'رئيس', 'المجلس', 'الأوروبي', 'بشأن', 'لقاح']","{'تصريحات', 'عربي', 'الأوروبي', 'رئيس', 'لقاح', 'المقصد', 'حسين', 'الخبير', 'بشأن', 'الوائلي', 'الشؤون', 'الأوروبية', 'المجلس', 'لـ', 'يفسر'}",15,95
نيويورك بوست تطعيم إرهابيا فى معتقل بـ,info_news,1,positive,"['نيويورك', 'بوست', 'تطعيم', 'إرهابيا', 'فى', 'معتقل', 'بـ']","{'نيويورك', 'إرهابيا', 'فى', 'تطعيم', 'معتقل', 'بوست', 'بـ'}",7,38
محاسن تتواصل الأبحاث العلمية لإيجاد لقاح للوباء تفتح الباب علاج لأمراض مستعصية تابع,info_news,1,positive,"['محاسن', 'تتواصل', 'الأبحاث', 'العلمية', 'لإيجاد', 'لقاح', 'للوباء', 'تفتح', 'الباب', 'علاج', 'لأمراض', 'مستعصية', 'تابع']","{'تتواصل', 'علاج', 'لقاح', 'الأبحاث', 'تابع', 'العلمية', 'تفتح', 'محاسن', 'للوباء', 'لأمراض', 'لإيجاد', 'مستعصية', 'الباب'}",13,83
بالدليل هيكسب أضعاف ثمن شراءه لقاح بيعه للمصريين أحمد سمير  ,plan,1,positive,"['بالدليل', 'هيكسب', 'أضعاف', 'ثمن', 'شراءه', 'لقاح', 'بيعه', 'للمصريين', 'أحمد', 'سمير']","{'للمصريين', 'أحمد', 'لقاح', 'بيعه', 'بالدليل', 'سمير', 'شراءه', 'ثمن', 'هيكسب', 'أضعاف'}",10,60
سكان السعودية تلقوا لقاح كورونا الان المركز ال عالميا,info_news,1,positive,"['سكان', 'السعودية', 'تلقوا', 'لقاح', 'كورونا', 'الان', 'المركز', 'ال', 'عالميا']","{'سكان', 'كورونا', 'الان', 'السعودية', 'لقاح', 'عالميا', 'المركز', 'ال', 'تلقوا'}",9,53
 تحديد مبنى الصالة الرياضية  مقرا لتقديم ,info_news,1,positive,"['تحديد', 'مبنى', 'الصالة', 'الرياضية', 'مقرا', 'لتقديم']","{'مبنى', 'مقرا', 'لتقديم', 'الصالة', 'تحديد', 'الرياضية'}",6,41
نائب بالكونغرس الأمريكي يصاب بـ كوفيد تلقيه جرعتين لقاح فايزر,info_news,-1,negative,"['نائب', 'بالكونغرس', 'الأمريكي', 'يصاب', 'بـ', 'كوفيد', 'تلقيه', 'جرعتين', 'لقاح', 'فايزر']","{'الأمريكي', 'لقاح', 'جرعتين', 'يصاب', 'تلقيه', 'كوفيد', 'فايزر', 'نائب', 'بالكونغرس', 'بـ'}",10,61
لقاح جديد لكورونا تظهر فاعليته الجرعة الأولى فقط,info_news,1,positive,"['لقاح', 'جديد', 'لكورونا', 'تظهر', 'فاعليته', 'الجرعة', 'الأولى', 'فقط']","{'تظهر', 'الأولى', 'لقاح', 'جديد', 'لكورونا', 'فاعليته', 'فقط', 'الجرعة'}",8,48
تلقي جرعته الثانية لقاح فيروس سانجاي غوبتا يشرح الأعراض يعاني الأشخاص,advice,1,positive,"['تلقي', 'جرعته', 'الثانية', 'لقاح', 'فيروس', 'سانجاي', 'غوبتا', 'يشرح', 'الأعراض', 'يعاني', 'الأشخاص']","{'غوبتا', 'لقاح', 'الثانية', 'يشرح', 'يعاني', 'جرعته', 'الأشخاص', 'فيروس', 'الأعراض', 'تلقي', 'سانجاي'}",11,69
روسيا تعلن استعدادها لتزويد مصر بتكنولوجيا تصنيع لقاح كورونا,info_news,1,positive,"['روسيا', 'تعلن', 'استعدادها', 'لتزويد', 'مصر', 'بتكنولوجيا', 'تصنيع', 'لقاح', 'كورونا']","{'كورونا', 'بتكنولوجيا', 'لتزويد', 'لقاح', 'استعدادها', 'تعلن', 'مصر', 'تصنيع', 'روسيا'}",9,60
خادم الحرمين الشريفين الملك سلمان بن عبدالعزيز آل سعود حفظه الله يتلقى الجرعة الأولى لقاح كوفيد  ,info_news,1,positive,"['خادم', 'الحرمين', 'الشريفين', 'الملك', 'سلمان', 'بن', 'عبدالعزيز', 'آل', 'سعود', 'حفظه', 'الله', 'يتلقى', 'الجرعة', 'الأولى', 'لقاح', 'كوفيد']","{'الله', 'الحرمين', 'الأولى', 'لقاح', 'الشريفين', 'عبدالعزيز', 'سعود', 'كوفيد', 'سلمان', 'آل', 'حفظه', 'الملك', 'خادم', 'الجرعة', 'بن', 'يتلقى'}",16,97
الرئيس التركي يتناول جرعة لقاح المخصص للشعب يستطيع فعلها وتناول اللقاح الصيني,celebrity,1,positive,"['الرئيس', 'التركي', 'يتناول', 'جرعة', 'لقاح', 'المخصص', 'للشعب', 'يستطيع', 'فعلها', 'وتناول', 'اللقاح', 'الصيني']","{'لقاح', 'التركي', 'الرئيس', 'يستطيع', 'جرعة', 'يتناول', 'الصيني', 'اللقاح', 'للشعب', 'فعلها', 'المخصص', 'وتناول'}",12,77
مراسل أحمد العناني تطعيم مليون شخص باللقاح والإغلاق العام سبب انخفاض أعداد الإصابات والوفيات بـ,info_news,1,positive,"['مراسل', 'أحمد', 'العناني', 'تطعيم', 'مليون', 'شخص', 'باللقاح', 'والإغلاق', 'العام', 'سبب', 'انخفاض', 'أعداد', 'الإصابات', 'والوفيات', 'بـ']","{'شخص', 'انخفاض', 'أعداد', 'سبب', 'العناني', 'أحمد', 'باللقاح', 'والإغلاق', 'مليون', 'الإصابات', 'تطعيم', 'مراسل', 'العام', 'والوفيات', 'بـ'}",15,95
 الامريكيون يريدون تجربة اللقاح الدول الاخرى,requests,1,positive,"['الامريكيون', 'يريدون', 'تجربة', 'اللقاح', 'الدول', 'الاخرى']","{'يريدون', 'الاخرى', 'الدول', 'الامريكيون', 'تجربة', 'اللقاح'}",6,44
الحمد لله ان المحمول ماكانش يد الجميع ايام لقاح شلل الاطفال زمان مصر لسة شلل الاطفال زي البرد كدة,info_news,1,positive,"['الحمد', 'لله', 'ان', 'المحمول', 'ماكانش', 'يد', 'الجميع', 'ايام', 'لقاح', 'شلل', 'الاطفال', 'زمان', 'مصر', 'لسة', 'شلل', 'الاطفال', 'زي', 'البرد', 'كدة']","{'لله', 'يد', 'لقاح', 'زمان', 'لسة', 'كدة', 'الاطفال', 'مصر', 'الجميع', 'البرد', 'زي', 'الحمد', 'شلل', 'ماكانش', 'المحمول', 'ان', 'ايام'}",17,97
سمو أمير منطقة يتلقى ويتفقد مركز استقبال المتقدمين اللقاح ,celebrity,1,positive,"['سمو', 'أمير', 'منطقة', 'يتلقى', 'ويتفقد', 'مركز', 'استقبال', 'المتقدمين', 'اللقاح']","{'المتقدمين', 'أمير', 'منطقة', 'استقبال', 'اللقاح', 'ويتفقد', 'سمو', 'مركز', 'يتلقى'}",9,58
الرئيس روحاني وزارة الصحة رفضت طلب شركات اجنبية اختبار لقاح كورونا مواطنينا ,info_news,1,positive,"['الرئيس', 'روحاني', 'وزارة', 'الصحة', 'رفضت', 'طلب', 'شركات', 'اجنبية', 'اختبار', 'لقاح', 'كورونا', 'مواطنينا']","{'كورونا', 'مواطنينا', 'روحاني', 'طلب', 'لقاح', 'اجنبية', 'الرئيس', 'وزارة', 'الصحة', 'اختبار', 'رفضت', 'شركات'}",12,76
تلقى سمو أمير منطقة الرياض الجرعة الأولى لقاح كورونا كوفيد بحضور معالي وزير الصحة,celebrity,1,positive,"['تلقى', 'سمو', 'أمير', 'منطقة', 'الرياض', 'الجرعة', 'الأولى', 'لقاح', 'كورونا', 'كوفيد', 'بحضور', 'معالي', 'وزير', 'الصحة']","{'كورونا', 'الأولى', 'أمير', 'معالي', 'لقاح', 'الصحة', 'كوفيد', 'وزير', 'بحضور', 'الرياض', 'تلقى', 'منطقة', 'سمو', 'الجرعة'}",14,81
الفنان حسين الجسمي يتلقى الجرعة الأولى لقاح كورونا,celebrity,1,positive,"['الفنان', 'حسين', 'الجسمي', 'يتلقى', 'الجرعة', 'الأولى', 'لقاح', 'كورونا']","{'كورونا', 'الجسمي', 'الفنان', 'الأولى', 'لقاح', 'حسين', 'الجرعة', 'يتلقى'}",8,50
تعلن إطلاق موقع حجز وتسجيل لقاح رسميا آخر الشهر الجارى ,info_news,1,positive,"['تعلن', 'إطلاق', 'موقع', 'حجز', 'وتسجيل', 'لقاح', 'رسميا', 'آخر', 'الشهر', 'الجارى']","{'رسميا', 'وتسجيل', 'آخر', 'إطلاق', 'موقع', 'لقاح', 'الشهر', 'حجز', 'تعلن', 'الجارى'}",10,55
لقاح فايزر الامريكي يقتل شخصا النرويج وحدها,info_news,-1,negative,"['لقاح', 'فايزر', 'الامريكي', 'يقتل', 'شخصا', 'النرويج', 'وحدها']","{'النرويج', 'لقاح', 'يقتل', 'فايزر', 'شخصا', 'الامريكي', 'وحدها'}",7,43
إيران تصادق استخدام سبوتنيكالروسي التطعيم ضد كورونا ,info_news,1,positive,"['إيران', 'تصادق', 'استخدام', 'سبوتنيكالروسي', 'التطعيم', 'ضد', 'كورونا']","{'كورونا', 'إيران', 'سبوتنيكالروسي', 'استخدام', 'التطعيم', 'تصادق', 'ضد'}",7,52
ثقة لدينا بلد يبيد الش عوب لأجل مصالحه المتوقع إصطياده أيض بحجة كورونا,info_news,-1,negative,"['ثقة', 'لدينا', 'بلد', 'يبيد', 'الش', 'عوب', 'لأجل', 'مصالحه', 'المتوقع', 'إصطياده', 'أيض', 'بحجة', 'كورونا']","{'المتوقع', 'كورونا', 'إصطياده', 'بلد', 'أيض', 'يبيد', 'بحجة', 'ثقة', 'عوب', 'الش', 'لدينا', 'لأجل', 'مصالحه'}",13,70
متل المليون لقاح تاع الحريري بكرا بيطلعوا,info_news,1,positive,"['متل', 'المليون', 'لقاح', 'تاع', 'الحريري', 'بكرا', 'بيطلعوا']","{'متل', 'بيطلعوا', 'لقاح', 'تاع', 'المليون', 'بكرا', 'الحريري'}",7,41
اللقاح الامريكي يقدم ضمان للفعالية طويلة المدى بدون آثار جانبية ,info_news,-1,negative,"['اللقاح', 'الامريكي', 'يقدم', 'ضمان', 'للفعالية', 'طويلة', 'المدى', 'بدون', 'آثار', 'جانبية']","{'ضمان', 'المدى', 'آثار', 'للفعالية', 'طويلة', 'اللقاح', 'جانبية', 'بدون', 'الامريكي', 'يقدم'}",10,64
الإمام الخامنئي دخول اللقاحين الأميركي والبريطاني إيران ممنوع كونه لقاح اختبار الشعوب  ,info_news,-1,negative,"['الإمام', 'الخامنئي', 'دخول', 'اللقاحين', 'الأميركي', 'والبريطاني', 'إيران', 'ممنوع', 'كونه', 'لقاح', 'اختبار', 'الشعوب']","{'إيران', 'دخول', 'الخامنئي', 'والبريطاني', 'لقاح', 'الإمام', 'اختبار', 'اللقاحين', 'ممنوع', 'الشعوب', 'كونه', 'الأميركي'}",12,87
الاستاذ محمد عبده يتلقى جرعة لقاح كورونا,celebrity,1,positive,"['الاستاذ', 'محمد', 'عبده', 'يتلقى', 'جرعة', 'لقاح', 'كورونا']","{'الاستاذ', 'محمد', 'كورونا', 'عبده', 'لقاح', 'جرعة', 'يتلقى'}",7,40
اختبارات مزيج لقاحي سبوتنيكو أسترازينيكا ستجرى دول اثنتان عربية  ,info_news,1,positive,"['اختبارات', 'مزيج', 'لقاحي', 'سبوتنيكو', 'أسترازينيكا', 'ستجرى', 'دول', 'اثنتان', 'عربية']","{'أسترازينيكا', 'دول', 'عربية', 'سبوتنيكو', 'اثنتان', 'ستجرى', 'لقاحي', 'اختبارات', 'مزيج'}",9,65
إقبال موظفي شرطة دبي للحصول جرعات لقاح كورونا   التفاصيل  ,info_news,1,positive,"['إقبال', 'موظفي', 'شرطة', 'دبي', 'للحصول', 'جرعات', 'لقاح', 'كورونا', 'التفاصيل']","{'للحصول', 'كورونا', 'جرعات', 'لقاح', 'موظفي', 'التفاصيل', 'إقبال', 'شرطة', 'دبي'}",9,58
وكالة أنباء البحرين فايزر تبلغ المنامة تأجيل تسليم شحنات لقاح كورونا كانت مقرر خلال الشهر الجاري,info_news,1,positive,"['وكالة', 'أنباء', 'البحرين', 'فايزر', 'تبلغ', 'المنامة', 'تأجيل', 'تسليم', 'شحنات', 'لقاح', 'كورونا', 'كانت', 'مقرر', 'خلال', 'الشهر', 'الجاري']","{'كورونا', 'الجاري', 'لقاح', 'تأجيل', 'شحنات', 'خلال', 'الشهر', 'تبلغ', 'فايزر', 'كانت', 'تسليم', 'أنباء', 'البحرين', 'وكالة', 'مقرر', 'المنامة'}",16,96
الملكة إليزابيث والأمير فيليب يتلقيان لقاح كورونا ويثيران التكهنات وقت حرج الجائحة بريطانيا,celebrity,1,positive,"['الملكة', 'إليزابيث', 'والأمير', 'فيليب', 'يتلقيان', 'لقاح', 'كورونا', 'ويثيران', 'التكهنات', 'وقت', 'حرج', 'الجائحة', 'بريطانيا']","{'كورونا', 'إليزابيث', 'والأمير', 'ويثيران', 'يتلقيان', 'الملكة', 'لقاح', 'التكهنات', 'الجائحة', 'بريطانيا', 'حرج', 'وقت', 'فيليب'}",13,91
لقاح فايزر فعال ضد السلالة البريطانية والجنوب أفريقية كورونا ,info_news,1,positive,"['لقاح', 'فايزر', 'فعال', 'ضد', 'السلالة', 'البريطانية', 'والجنوب', 'أفريقية', 'كورونا']","{'السلالة', 'كورونا', 'البريطانية', 'لقاح', 'والجنوب', 'أفريقية', 'فايزر', 'ضد', 'فعال'}",9,61
السفير الأمريكي السعودية يتلقى الجرعة الثانية لقاح فيروس كورونا,celebrity,1,positive,"['السفير', 'الأمريكي', 'السعودية', 'يتلقى', 'الجرعة', 'الثانية', 'لقاح', 'فيروس', 'كورونا']","{'كورونا', 'الأمريكي', 'السعودية', 'لقاح', 'الثانية', 'السفير', 'فيروس', 'الجرعة', 'يتلقى'}",9,63
اي حدن بيسألني بدك تاخد لقاح  بكل ثقة الا بلقاح الجمهورية الإسلامية  لان التاريخ علمنا ناخد الا,personal,-1,negative,"['اي', 'حدن', 'بيسألني', 'بدك', 'تاخد', 'لقاح', 'بكل', 'ثقة', 'الا', 'بلقاح', 'الجمهورية', 'الإسلامية', 'لان', 'التاريخ', 'علمنا', 'ناخد', 'الا']","{'حدن', 'الا', 'لقاح', 'بلقاح', 'بدك', 'الجمهورية', 'التاريخ', 'ثقة', 'الإسلامية', 'ناخد', 'لان', 'تاخد', 'بيسألني', 'علمنا', 'اي', 'بكل'}",16,95
بدن يجيبو لقاح كورونا وبنادول عنا  يحرق حريشكن  اسمع الخبر بموت الضحك ,others,-1,negative,"['بدن', 'يجيبو', 'لقاح', 'كورونا', 'وبنادول', 'عنا', 'يحرق', 'حريشكن', 'اسمع', 'الخبر', 'بموت', 'الضحك']","{'كورونا', 'يحرق', 'يجيبو', 'لقاح', 'حريشكن', 'عنا', 'الضحك', 'بدن', 'بموت', 'وبنادول', 'الخبر', 'اسمع'}",12,70
ممثل خامنئي مدينة كاشان عباس سليماني الدول الأوروبية تريد شراء لقاح الإيراني,info_news,1,positive,"['ممثل', 'خامنئي', 'مدينة', 'كاشان', 'عباس', 'سليماني', 'الدول', 'الأوروبية', 'تريد', 'شراء', 'لقاح', 'الإيراني']","{'الإيراني', 'خامنئي', 'لقاح', 'تريد', 'عباس', 'الدول', 'شراء', 'سليماني', 'كاشان', 'الأوروبية', 'مدينة', 'ممثل'}",12,76
وسط مخاوف انهيار جهود مكافحة الفيروس نقص حاد جرعات لقاح بعدد الدول الأوروبية ,info_news,0,neutral,"['وسط', 'مخاوف', 'انهيار', 'جهود', 'مكافحة', 'الفيروس', 'نقص', 'حاد', 'جرعات', 'لقاح', 'بعدد', 'الدول', 'الأوروبية']","{'الفيروس', 'جرعات', 'لقاح', 'الدول', 'مخاوف', 'جهود', 'انهيار', 'مكافحة', 'نقص', 'حاد', 'الأوروبية', 'وسط', 'بعدد'}",13,77
مصر تتسلم أولى شحنات لقاح أسترازينيكا ,info_news,1,positive,"['مصر', 'تتسلم', 'أولى', 'شحنات', 'لقاح', 'أسترازينيكا']","{'أسترازينيكا', 'لقاح', 'شحنات', 'مصر', 'أولى', 'تتسلم'}",6,38
  الدفعة الثانية لقاح تصل أرض السلطنة  ,info_news,1,positive,"['الدفعة', 'الثانية', 'لقاح', 'تصل', 'أرض', 'السلطنة']","{'أرض', 'الدفعة', 'لقاح', 'الثانية', 'تصل', 'السلطنة'}",6,39
ردود فعل الاصدقاء تلقيهم مطعوم كورونا امس واليوم سلامات والله يبعد الجميع شر الوباء,personal,1,positive,"['ردود', 'فعل', 'الاصدقاء', 'تلقيهم', 'مطعوم', 'كورونا', 'امس', 'واليوم', 'سلامات', 'والله', 'يبعد', 'الجميع', 'شر', 'الوباء']","{'كورونا', 'امس', 'الوباء', 'مطعوم', 'واليوم', 'والله', 'شر', 'الجميع', 'ردود', 'الاصدقاء', 'سلامات', 'يبعد', 'فعل', 'تلقيهم'}",14,83
ناد بريطاني للأثرياء فقط ينقلهم الإمارات والهند لتلقي لقاح كورونا  ,info_news,1,positive,"['ناد', 'بريطاني', 'للأثرياء', 'فقط', 'ينقلهم', 'الإمارات', 'والهند', 'لتلقي', 'لقاح', 'كورونا']","{'كورونا', 'لقاح', 'لتلقي', 'الإمارات', 'والهند', 'ينقلهم', 'ناد', 'بريطاني', 'للأثرياء', 'فقط'}",10,67
تقديم جرعة لقاح خلال الـ ساعة الماضية ,info_news,1,positive,"['تقديم', 'جرعة', 'لقاح', 'خلال', 'الـ', 'ساعة', 'الماضية']","{'لقاح', 'تقديم', 'خلال', 'جرعة', 'الـ', 'ساعة', 'الماضية'}",7,38
متحدث الصحة مليون مسجل تطبيق صحتي لأخذ لقاح  ,info_news,1,positive,"['متحدث', 'الصحة', 'مليون', 'مسجل', 'تطبيق', 'صحتي', 'لأخذ', 'لقاح']","{'صحتي', 'لأخذ', 'لقاح', 'الصحة', 'مليون', 'تطبيق', 'متحدث', 'مسجل'}",8,45
بصراحة لازم نلاقي لقاح للنفسيات المعفنة المحمضة لانو الوضع يحمل ابدا,unrelated,0,neutral,"['بصراحة', 'لازم', 'نلاقي', 'لقاح', 'للنفسيات', 'المعفنة', 'المحمضة', 'لانو', 'الوضع', 'يحمل', 'ابدا']","{'لقاح', 'يحمل', 'المحمضة', 'الوضع', 'ابدا', 'لانو', 'لازم', 'للنفسيات', 'بصراحة', 'المعفنة', 'نلاقي'}",11,68
عاجل      وزارة الصحة تعتمد لقاحي أسترازينيكا وموديرنا لقاح فايزر     السعودية,plan,1,positive,"['عاجل', 'وزارة', 'الصحة', 'تعتمد', 'لقاحي', 'أسترازينيكا', 'وموديرنا', 'لقاح', 'فايزر', 'السعودية']","{'عاجل', 'أسترازينيكا', 'وموديرنا', 'لقاح', 'السعودية', 'وزارة', 'الصحة', 'تعتمد', 'فايزر', 'لقاحي'}",10,78
ماكرون لقاح أسترازينيكا فع ال تقريبا لمن تجاوزوا عاما ,info_news,-1,negative,"['ماكرون', 'لقاح', 'أسترازينيكا', 'فع', 'ال', 'تقريبا', 'لمن', 'تجاوزوا', 'عاما']","{'أسترازينيكا', 'لمن', 'ماكرون', 'لقاح', 'عاما', 'تجاوزوا', 'فع', 'ال', 'تقريبا'}",9,54
وزارة الصحة تذك   الحصول الجرعة الثانية لقاح كورونا يعني عدم الالتزام بالإجراءات الوقائية,info_news,0,neutral,"['وزارة', 'الصحة', 'تذك', 'الحصول', 'الجرعة', 'الثانية', 'لقاح', 'كورونا', 'يعني', 'عدم', 'الالتزام', 'بالإجراءات', 'الوقائية']","{'كورونا', 'الالتزام', 'لقاح', 'الثانية', 'وزارة', 'الصحة', 'الحصول', 'بالإجراءات', 'تذك', 'الجرعة', 'يعني', 'عدم', 'الوقائية'}",13,89
الأطباء يؤكدون أمان وأهمية لقاح مواجهة الفيروس وحماية الفرد والمجتمع ,info_news,1,positive,"['الأطباء', 'يؤكدون', 'أمان', 'وأهمية', 'لقاح', 'مواجهة', 'الفيروس', 'وحماية', 'الفرد', 'والمجتمع']","{'الفيروس', 'أمان', 'لقاح', 'الأطباء', 'الفرد', 'والمجتمع', 'يؤكدون', 'مواجهة', 'وحماية', 'وأهمية'}",10,69
بالأسماء مركزا أبوظبي يوفر لقاح كورونا مجانا بدون موعد,plan,1,positive,"['بالأسماء', 'مركزا', 'أبوظبي', 'يوفر', 'لقاح', 'كورونا', 'مجانا', 'بدون', 'موعد']","{'كورونا', 'مجانا', 'مركزا', 'لقاح', 'يوفر', 'أبوظبي', 'موعد', 'بدون', 'بالأسماء'}",9,54
الضاحية الجنوبية الأن   يوجد لدينا لقاح الحسين والكمية محدودة,plan,0,neutral,"['الضاحية', 'الجنوبية', 'الأن', 'يوجد', 'لدينا', 'لقاح', 'الحسين', 'والكمية', 'محدودة']","{'محدودة', 'الأن', 'لقاح', 'الضاحية', 'يوجد', 'لدينا', 'الجنوبية', 'والكمية', 'الحسين'}",9,61
بدعم إيمان المنصور تكتب قصة نجاح للوطن الوصول لقاح سعودي ضد ,info_news,1,positive,"['بدعم', 'إيمان', 'المنصور', 'تكتب', 'قصة', 'نجاح', 'للوطن', 'الوصول', 'لقاح', 'سعودي', 'ضد']","{'الوصول', 'بدعم', 'لقاح', 'قصة', 'إيمان', 'نجاح', 'سعودي', 'للوطن', 'تكتب', 'ضد', 'المنصور'}",11,60
صباحك ومطرحك وزيرة الصحه تعلن مؤتمر صحفي اليوم خطة توزيع لقاح كورونا الصيني   اسمعنا,plan,1,positive,"['صباحك', 'ومطرحك', 'وزيرة', 'الصحه', 'تعلن', 'مؤتمر', 'صحفي', 'اليوم', 'خطة', 'توزيع', 'لقاح', 'كورونا', 'الصيني', 'اسمعنا']","{'كورونا', 'اليوم', 'ومطرحك', 'لقاح', 'توزيع', 'اسمعنا', 'صباحك', 'تعلن', 'الصيني', 'الصحه', 'خطة', 'مؤتمر', 'صحفي', 'وزيرة'}",14,84
الصحة الأميركية ملايين شخص حصلوا الجرعة الأولى لقاح ,info_news,1,positive,"['الصحة', 'الأميركية', 'ملايين', 'شخص', 'حصلوا', 'الجرعة', 'الأولى', 'لقاح']","{'شخص', 'الأولى', 'حصلوا', 'لقاح', 'الصحة', 'ملايين', 'الجرعة', 'الأميركية'}",8,52
وزير الصحة للمملكة الإقبال جيد ونتوقع زيادته الأيام المقبلة  ,info_news,1,positive,"['وزير', 'الصحة', 'للمملكة', 'الإقبال', 'جيد', 'ونتوقع', 'زيادته', 'الأيام', 'المقبلة']","{'المقبلة', 'جيد', 'الصحة', 'الإقبال', 'وزير', 'الأيام', 'ونتوقع', 'زيادته', 'للمملكة'}",9,61
خذ مطعوم كورونا متت خير متت برضوا خير,personal,0,neutral,"['خذ', 'مطعوم', 'كورونا', 'متت', 'خير', 'متت', 'برضوا', 'خير']","{'كورونا', 'خير', 'متت', 'مطعوم', 'برضوا', 'خذ'}",6,37
مدير منظمة العالم شفا فشل أخلاقي كارثي يتعلق بلقاحات,info_news,0,neutral,"['مدير', 'منظمة', 'العالم', 'شفا', 'فشل', 'أخلاقي', 'كارثي', 'يتعلق', 'بلقاحات']","{'بلقاحات', 'العالم', 'شفا', 'أخلاقي', 'يتعلق', 'فشل', 'مدير', 'منظمة', 'كارثي'}",9,52
الانتقادات وجهت العام الماضي لإطلاقه مبكر لقاح سبوتنيك فعال ضد فيروس بنسبة,info_news,1,positive,"['الانتقادات', 'وجهت', 'العام', 'الماضي', 'لإطلاقه', 'مبكر', 'لقاح', 'سبوتنيك', 'فعال', 'ضد', 'فيروس', 'بنسبة']","{'مبكر', 'الماضي', 'لإطلاقه', 'لقاح', 'وجهت', 'العام', 'الانتقادات', 'فيروس', 'سبوتنيك', 'ضد', 'بنسبة', 'فعال'}",12,74
الي سمح لهالاشكال تتطعم  خليه ياخذ لقاح ايران,info_news,0,neutral,"['الي', 'سمح', 'لهالاشكال', 'تتطعم', 'خليه', 'ياخذ', 'لقاح', 'ايران']","{'ياخذ', 'خليه', 'ايران', 'لقاح', 'الي', 'لهالاشكال', 'تتطعم', 'سمح'}",8,45
عاجل هيئة الدواء الهولندية تتوقع يكون لقاح فعالا ضد السلالة الجديدة لفيروس,info_news,1,positive,"['عاجل', 'هيئة', 'الدواء', 'الهولندية', 'تتوقع', 'يكون', 'لقاح', 'فعالا', 'ضد', 'السلالة', 'الجديدة', 'لفيروس']","{'عاجل', 'السلالة', 'لفيروس', 'لقاح', 'الجديدة', 'هيئة', 'يكون', 'الهولندية', 'الدواء', 'فعالا', 'ضد', 'تتوقع'}",12,74
كاركاتير لصحيفة تركية يسلط الضوء غلي صفقة تسليم الايغور مقابل لقاح كورونا,info_news,1,positive,"['كاركاتير', 'لصحيفة', 'تركية', 'يسلط', 'الضوء', 'غلي', 'صفقة', 'تسليم', 'الايغور', 'مقابل', 'لقاح', 'كورونا']","{'كورونا', 'لقاح', 'تركية', 'كاركاتير', 'يسلط', 'لصحيفة', 'غلي', 'صفقة', 'مقابل', 'تسليم', 'الايغور', 'الضوء'}",12,73
